index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
206,7,8,0.562,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.761
207,7,9,0.491,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.742
208,7,10,0.399,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.713
209,8,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.644
210,8,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.689
211,8,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.679
212,8,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.701
213,8,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.71
214,8,5,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.719
215,8,6,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.72
216,8,7,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.747
217,8,8,0.837,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.838
218,8,9,0.695,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.813
219,8,10,0.594,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.782
220,9,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.625
221,9,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.686
222,9,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.693
223,9,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.68
224,9,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7
225,9,5,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.709
226,9,6,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.703
227,9,7,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.721
228,9,8,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.733
229,9,9,0.803,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.81
230,9,10,0.694,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.795
231,10,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.579
232,10,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.622
233,10,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.626
234,10,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.63
