index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_temperature,lwf_alpha,dense_size,ridge_result
256,1,3,0.788,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.809
257,1,4,0.775,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.797
258,1,5,0.758,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.784
259,1,6,0.746,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.785
260,1,7,0.731,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.79
261,1,8,0.727,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.784
262,1,9,0.703,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.784
263,1,10,0.69,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.771
264,2,0,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.434
265,2,1,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.534
266,2,2,0.807,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.794
267,2,3,0.759,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.77
268,2,4,0.742,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.736
269,2,5,0.731,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.731
270,2,6,0.696,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.728
271,2,7,0.638,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.72
272,2,8,0.619,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.722
273,2,9,0.601,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.717
274,2,10,0.591,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.722
275,3,0,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.574
276,3,1,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.636
277,3,2,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.638
278,3,3,0.828,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.812
279,3,4,0.798,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.816
280,3,5,0.794,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.808
281,3,6,0.776,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.8
282,3,7,0.738,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.791
283,3,8,0.721,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.791
284,3,9,0.711,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.785
285,3,10,0.701,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.774
286,4,0,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.587
287,4,1,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.668
288,4,2,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.687
289,4,3,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.717
290,4,4,0.836,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.838
291,4,5,0.832,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.833
292,4,6,0.809,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.817
293,4,7,0.789,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.803
294,4,8,0.793,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.815
295,4,9,0.756,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.808
296,4,10,0.717,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.802
297,5,0,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.557
298,5,1,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.642
299,5,2,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.668
300,5,3,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.691
