index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
221,9,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.668
222,9,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.665
223,9,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.687
224,9,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.669
225,9,5,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.696
226,9,6,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.66
227,9,7,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.705
228,9,8,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.699
229,9,9,0.797,si,1693682355.3109515,si,True,0.01,1e-08,256,0.803
230,9,10,0.726,si,1693682355.3109515,si,True,0.01,1e-08,256,0.755
231,10,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.582
232,10,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.632
233,10,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.628
234,10,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.633
235,10,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.645
236,10,5,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.666
237,10,6,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.659
238,10,7,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.674
239,10,8,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.664
240,10,9,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.655
241,10,10,0.805,si,1693682355.3109515,si,True,0.01,1e-08,256,0.803
242,0,0,0.8281,si,1693682361.0109622,si,True,0.01,1e-08,128,0.8218
243,0,1,0.6821,si,1693682361.0109622,si,True,0.01,1e-08,128,0.7319
244,0,2,0.495,si,1693682361.0109622,si,True,0.01,1e-08,128,0.6448
245,0,3,0.4645,si,1693682361.0109622,si,True,0.01,1e-08,128,0.6238
246,0,4,0.4033,si,1693682361.0109622,si,True,0.01,1e-08,128,0.6006
247,0,5,0.4075,si,1693682361.0109622,si,True,0.01,1e-08,128,0.6023
248,0,6,0.3933,si,1693682361.0109622,si,True,0.01,1e-08,128,0.5802
249,0,7,0.3336,si,1693682361.0109622,si,True,0.01,1e-08,128,0.571
250,0,8,0.3366,si,1693682361.0109622,si,True,0.01,1e-08,128,0.5589
251,0,9,0.3284,si,1693682361.0109622,si,True,0.01,1e-08,128,0.5687
252,0,10,0.2869,si,1693682361.0109622,si,True,0.01,1e-08,128,0.5625
253,1,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.652
254,1,1,0.858,si,1693682361.0109622,si,True,0.01,1e-08,128,0.864
255,1,2,0.686,si,1693682361.0109622,si,True,0.01,1e-08,128,0.746
256,1,3,0.638,si,1693682361.0109622,si,True,0.01,1e-08,128,0.722
257,1,4,0.572,si,1693682361.0109622,si,True,0.01,1e-08,128,0.727
258,1,5,0.534,si,1693682361.0109622,si,True,0.01,1e-08,128,0.716
259,1,6,0.537,si,1693682361.0109622,si,True,0.01,1e-08,128,0.692
