index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
320,7,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.579
321,7,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.614
322,7,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.614
323,7,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.634
324,7,5,0.1,replay,1695845549.386035,replay,True,20000,128,0.649
325,7,6,0.1,replay,1695845549.386035,replay,True,20000,128,0.659
326,7,7,0.765,replay,1695845549.386035,replay,True,20000,128,0.774
327,7,8,0.76,replay,1695845549.386035,replay,True,20000,128,0.742
328,7,9,0.748,replay,1695845549.386035,replay,True,20000,128,0.756
329,7,10,0.745,replay,1695845549.386035,replay,True,20000,128,0.746
330,8,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.526
331,8,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.6
332,8,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.632
333,8,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.671
334,8,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.684
335,8,5,0.1,replay,1695845549.386035,replay,True,20000,128,0.713
336,8,6,0.1,replay,1695845549.386035,replay,True,20000,128,0.719
337,8,7,0.1,replay,1695845549.386035,replay,True,20000,128,0.74
338,8,8,0.841,replay,1695845549.386035,replay,True,20000,128,0.833
339,8,9,0.828,replay,1695845549.386035,replay,True,20000,128,0.811
340,8,10,0.821,replay,1695845549.386035,replay,True,20000,128,0.822
341,9,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.541
342,9,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.648
343,9,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.683
344,9,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.703
345,9,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.722
346,9,5,0.1,replay,1695845549.386035,replay,True,20000,128,0.719
347,9,6,0.1,replay,1695845549.386035,replay,True,20000,128,0.73
348,9,7,0.1,replay,1695845549.386035,replay,True,20000,128,0.73
349,9,8,0.1,replay,1695845549.386035,replay,True,20000,128,0.739
350,9,9,0.813,replay,1695845549.386035,replay,True,20000,128,0.811
351,9,10,0.796,replay,1695845549.386035,replay,True,20000,128,0.801
352,10,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.53
353,10,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.568
354,10,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.605
355,10,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.628
356,10,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.635
357,10,5,0.1,replay,1695845549.386035,replay,True,20000,128,0.654
358,10,6,0.1,replay,1695845549.386035,replay,True,20000,128,0.653
359,10,7,0.1,replay,1695845549.386035,replay,True,20000,128,0.675
360,10,8,0.1,replay,1695845549.386035,replay,True,20000,128,0.674
361,10,9,0.1,replay,1695845549.386035,replay,True,20000,128,0.692
362,10,10,0.817,replay,1695845549.386035,replay,True,20000,128,0.813
363,0,0,0.827,replay,1695845549.3869524,replay,True,20000,128,0.825
364,0,1,0.8237,replay,1695845549.3869524,replay,True,20000,128,0.8178
365,0,2,0.8048,replay,1695845549.3869524,replay,True,20000,128,0.7975
366,0,3,0.7897,replay,1695845549.3869524,replay,True,20000,128,0.7859
367,0,4,0.7814,replay,1695845549.3869524,replay,True,20000,128,0.7785
368,0,5,0.7797,replay,1695845549.3869524,replay,True,20000,128,0.7739
369,0,6,0.775,replay,1695845549.3869524,replay,True,20000,128,0.7651
370,0,7,0.761,replay,1695845549.3869524,replay,True,20000,128,0.7612
371,0,8,0.7527,replay,1695845549.3869524,replay,True,20000,128,0.7523
372,0,9,0.7348,replay,1695845549.3869524,replay,True,20000,128,0.7454
373,0,10,0.7418,replay,1695845549.3869524,replay,True,20000,128,0.744
374,1,0,0.1,replay,1695845549.3869524,replay,True,20000,128,0.569
375,1,1,0.827,replay,1695845549.3869524,replay,True,20000,128,0.829
376,1,2,0.818,replay,1695845549.3869524,replay,True,20000,128,0.825
377,1,3,0.816,replay,1695845549.3869524,replay,True,20000,128,0.817
378,1,4,0.814,replay,1695845549.3869524,replay,True,20000,128,0.822
379,1,5,0.812,replay,1695845549.3869524,replay,True,20000,128,0.811
380,1,6,0.818,replay,1695845549.3869524,replay,True,20000,128,0.809
381,1,7,0.807,replay,1695845549.3869524,replay,True,20000,128,0.816
382,1,8,0.809,replay,1695845549.3869524,replay,True,20000,128,0.823
383,1,9,0.81,replay,1695845549.3869524,replay,True,20000,128,0.809
384,1,10,0.807,replay,1695845549.3869524,replay,True,20000,128,0.808
385,2,0,0.1,replay,1695845549.3869524,replay,True,20000,128,0.521
386,2,1,0.1,replay,1695845549.3869524,replay,True,20000,128,0.592
